GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jmztabm-io,de.isas.mztab2.io.formats,SmallMoleculeSummaryFormat,3,0,0,0,1,0,1,0,1,0
jmztabm-io,de.isas.mztab2.io.formats,SampleFormat,3,0,0,0,1,0,1,0,1,0
jmztabm-io,de.isas.mztab2.io.formats,UriFormat,3,0,0,0,1,0,1,0,1,0
jmztabm-io,de.isas.mztab2.io.formats,CvFormat,3,0,0,0,1,0,1,0,1,0
jmztabm-io,de.isas.mztab2.io.formats,SoftwareFormat,3,0,0,0,1,0,1,0,1,0
jmztabm-io,de.isas.mztab2.io.formats,SampleProcessingFormat,3,0,0,0,1,0,1,0,1,0
jmztabm-io,de.isas.mztab2.io.formats,AssayFormat,3,0,0,0,1,0,1,0,1,0
jmztabm-io,de.isas.mztab2.io.formats,ParameterFormat,3,0,0,0,1,0,1,0,1,0
jmztabm-io,de.isas.mztab2.io.formats,InstrumentFormat,3,0,0,0,1,0,1,0,1,0
jmztabm-io,de.isas.mztab2.io.formats,StudyVariableFormat,3,0,0,0,1,0,1,0,1,0
jmztabm-io,de.isas.mztab2.io.formats,PublicationFormat,3,0,0,0,1,0,1,0,1,0
jmztabm-io,de.isas.mztab2.io.formats,SmallMoleculeFeatureFormat,3,0,0,0,1,0,1,0,1,0
jmztabm-io,de.isas.mztab2.io.formats,DatabaseFormat,3,0,0,0,1,0,1,0,1,0
jmztabm-io,de.isas.mztab2.io.formats,SmallMoleculeEvidenceFormat,3,0,0,0,1,0,1,0,1,0
jmztabm-io,de.isas.mztab2.io.formats,ContactFormat,3,0,0,0,1,0,1,0,1,0
jmztabm-io,de.isas.mztab2.io.formats,MsRunFormat,3,0,0,0,1,0,1,0,1,0
jmztabm-io,de.isas.mztab2.io.formats,MetadataFormat,3,0,0,0,1,0,1,0,1,0
jmztabm-io,de.isas.mztab2.io.serialization,AssaySerializer,19,141,2,4,5,44,3,7,1,6
jmztabm-io,de.isas.mztab2.io.serialization,DatabaseSerializer,19,112,2,4,5,29,3,5,1,4
jmztabm-io,de.isas.mztab2.io.serialization,SampleProcessingSerializer,19,26,1,1,5,10,2,4,1,4
jmztabm-io,de.isas.mztab2.io.serialization,UriSerializer,51,0,2,0,16,0,6,0,5,0
jmztabm-io,de.isas.mztab2.io.serialization,StudyVariableSerializer,19,123,1,1,5,38,2,5,1,5
jmztabm-io,de.isas.mztab2.io.serialization,SmallMoleculeEvidenceSerializer,19,165,1,1,5,60,2,5,1,5
jmztabm-io,de.isas.mztab2.io.serialization,MsRunSerializer,19,133,1,3,5,38,2,5,1,4
jmztabm-io,de.isas.mztab2.io.serialization,MetadataSerializer,60,521,11,43,17,142,12,27,1,11
jmztabm-io,de.isas.mztab2.io.serialization,SmallMoleculeSummarySerializer,19,144,1,1,5,55,2,4,1,4
jmztabm-io,de.isas.mztab2.io.serialization,SampleSerializer,19,95,1,1,5,27,2,4,1,4
jmztabm-io,de.isas.mztab2.io.serialization,UriConverter,0,10,0,0,0,2,0,2,0,2
jmztabm-io,de.isas.mztab2.io.serialization,InstrumentSerializer,19,77,3,3,5,22,4,4,1,4
jmztabm-io,de.isas.mztab2.io.serialization,SmallMoleculeFeatureSerializer,19,106,1,1,5,42,2,4,1,4
jmztabm-io,de.isas.mztab2.io.serialization,SoftwareSerializer,19,36,1,1,5,13,2,4,1,4
jmztabm-io,de.isas.mztab2.io.serialization,ElementNameMappingException,9,0,0,0,4,0,1,0,1,0
jmztabm-io,de.isas.mztab2.io.serialization,CvSerializer,19,74,1,1,5,20,2,4,1,4
jmztabm-io,de.isas.mztab2.io.serialization,PublicationSerializer,19,52,1,1,5,17,2,5,1,5
jmztabm-io,de.isas.mztab2.io.serialization,Serializers,309,872,34,88,103,241,47,74,18,42
jmztabm-io,de.isas.mztab2.io.serialization,ContactSerializer,19,60,1,1,5,17,2,4,1,4
